name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
HikariCP-3.2.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
byte-buddy-1.9.13.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-codec-1.11.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-dbcp-1.2.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-io-2.5.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-logging-1.1.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-pool-1.6.jar,"Apache-2.0",-,-,-,Java,-,-,-
jandex-2.0.5.Final.jar,"Apache-2.0",-,-,-,Java,-,-,-
jboss-logging-3.3.2.Final.jar,"Apache-2.0",-,-,-,Java,-,-,-
log4j-api-2.11.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
log4j-to-slf4j-2.11.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
postgresql-42.2.5.jar,"Apache-2.0",-,-,-,Java,-,-,-
snakeyaml-1.23.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-boot-2.1.6.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-boot-starter-web-services-2.0.6.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-core-5.1.8.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-data-commons-2.1.9.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-data-jpa-2.1.9.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-expression-5.1.8.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-security-core-5.1.5.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-tx-5.1.8.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-web-5.1.8.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-webmvc-5.1.8.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
spring-ws-security-2.2.4.RELEASE.jar,"Apache-2.0",-,-,-,Java,-,-,-
tomcat-embed-core-9.0.21.jar,"Apache-2.0",-,-,-,Java,-,-,-
tomcat-embed-el-9.0.21.jar,"Apache-2.0",-,-,-,Java,-,-,-
tomcat-embed-websocket-9.0.21.jar,"Apache-2.0",-,-,-,Java,-,-,-
xmlsec-1.5.8.jar,"Apache-2.0",-,-,-,Java,-,-,-
wss4j-1.6.19.jar,"Apache-2.0",-,-,-,Java,-,-,-
activation-1.0.2.jar,"CDDL-1.0",-,-,-,Java,-,-,-
consprefNotifica-1.4.0.jar,"Apache-2.0";"MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
classmate-1.4.0.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
httpclient-4.4.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
httpcore-4.4.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
jackson-annotations-2.9.0.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
jackson-core-2.9.9.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
jackson-databind-2.9.9.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
joda-time-2.10.2.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
opensaml-2.5.1-1.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
openws-1.4.2-1.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
slf4j-api-1.7.26.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
validation-api-2.0.1.Final.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
xmltooling-1.3.2-1.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
jaxb-api-2.3.1.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
mail-1.5.0-b01.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
wsdl4j-1.6.3.jar,"CPL",Redhat,-,-,Java,-,-,-
antlr-2.7.7.jar,"BSD",-,-,-,Java,-,-,-
dom4j-2.1.1.jar,"BSD",-,-,-,Java,-,-,-
aspectjweaver-1.9.4.jar,"Eclipse Public License",-,-,-,Java,-,-,-
javax.persistence-api-2.2.jar,"Eclipse Public License",-,-,-,Java,-,-,-
javax.activation-api-1.2.0.jar,"Eclipse Public License",-,-,-,Java,-,-,-
javax.annotation-api-1.3.2.jar,"Eclipse Public License",-,-,-,Java,-,-,-
javax.transaction-api-1.3.jar,"Eclipse Public License",-,-,-,Java,-,-,-
hibernate-commons-annotations-5.0.4.Final.jar,"GNU",-,-,-,Java,-,-,-
hibernate-core-5.3.10.Final.jar,"GNU",-,-,-,Java,-,-,-
hibernate-validator-6.0.17.Final.jar,"GNU",-,-,-,Java,-,-,-
javassist-3.23.2-GA.jar,"GNU"",-,-,-,Java,-,-,-
logback-core-1.2.3.jar,"GNU"",-,-,-,Java,-,-,-
